,list
0,Eternals
1,3 Idiots
2,Hotel Mumbai
3,Dangal
4,Bride & Prejudice
5,The Love Guru
6,Rangasthalam
7,Jab We Met
8,Rab Ne Bana Di Jodi
9,Main Hoon Na
10,Raid
11,Jaadugar
12,Pati Patni Aur Woh
13,Dostana
14,Highway
15,Badmaa$h Company
16,Lage Raho Munna Bhai
17,Toilet - Ek Prem Katha
18,Looop Lapeta
19,Bhavesh Joshi Superhero
20,The Cheetah Girls: One World
21,Ra.One
22,Bachna Ae Haseeno
23,Aiyaary
24,Rangeela
25,Call My Agent Bollywood
26,Tango Shalom
27,Dr. Cabbie
28,Kaun?
29,Neal 'N' Nikki
30,Petta
31,Bombay Talkies
32,Newton
33,Rana Naidu
34,Delhi Safari
35,Yamla Pagla Deewana
36,I Am Kalam
37,Mostly Sunny
38,Love You Loktantra
39,Filmistaan
40,Children of War
41,Bir Baba Hindu
42,Superman
43,Mahakaal
44,Hero
45,Bollywood Queen
46,GRADE
47,Sadda Adda
48,Captive: Capture the Truth
49,Penalty
